78 13
0 1 -5.0625
0 2 -63.41379925603306
0 3 -63.41379925603306
0 4 -39.0625
0 5 -18.897005668830243
0 6 -18.897005668830243
0 7 -63.41379925603306
0 8 -999999999999999
0 9 -999999999999999
0 10 -90.57316776974851
0 11 -999999999999999
0 12 -999999999999999
1 2 -63.41379925603306
1 3 -63.41379925603306
1 4 -39.0625
1 5 -18.897005668830243
1 6 -18.897005668830243
1 7 -999999999999999
1 8 -999999999999999
1 9 -999999999999999
1 10 -90.57316776974851
1 11 -999999999999999
1 12 -39.0625
2 3 -63.41379925603306
2 4 -1.3856671208729754
2 5 -18.897005668830243
2 6 -18.897005668830243
2 7 -999999999999999
2 8 -90.57316776974851
2 9 -999999999999999
2 10 -999999999999999
2 11 -999999999999999
2 12 -999999999999999
3 4 -39.0625
3 5 -18.897005668830243
3 6 -18.897005668830243
3 7 -63.41379925603306
3 8 -999999999999999
3 9 -63.41379925603306
3 10 -90.57316776974851
3 11 -999999999999999
3 12 -999999999999999
4 5 -5.0625
4 6 -5.0625
4 7 -999999999999999
4 8 -999999999999999
4 9 -999999999999999
4 10 -999999999999999
4 11 -999999999999999
4 12 -999999999999999
5 6 -0.0625
5 7 -999999999999999
5 8 -999999999999999
5 9 -999999999999999
5 10 -999999999999999
5 11 -999999999999999
5 12 -999999999999999
6 7 -999999999999999
6 8 -999999999999999
6 9 -999999999999999
6 10 -999999999999999
6 11 -999999999999999
6 12 -999999999999999
7 8 -90.57316776974851
7 9 -5.0625
7 10 -90.57316776974851
7 11 -18.897005668830243
7 12 -39.0625
8 9 -11.01856230082461
8 10 -18.897005668830243
8 11 -39.0625
8 12 -63.41379925603306
9 10 -90.57316776974851
9 11 -18.897005668830243
9 12 -39.0625
10 11 -39.0625
10 12 -63.41379925603306
11 12 -5.0625
